0x3EABA0: AFFREUX
0x3EABA6: SEUL
0x3EABAC: ENNUYÉ
0x3EABB2: SECRÈTE
0x3EABB9: MYSTÈRE
0x3EABC1: MANQUES
0x3EABC7: MEILLEUR
0x3EABCC: POUILLEUX
0x3EABD2: ERREUR
0x3EABDA: GENTIL
0x3EABDF: BIEN
0x3EABE4: AFFAIBLIE
0x3EABED: SIMPLE
0x3EABF4: SEMBLE
0x3EABFA: GRAVEMENT
0x3EAF42: CONCÉDER
0x3EAF4A: Donner
0x3EAF4F: DONNE
0x3EAF55: JOUÉ
0x3EAF5C: JEUX
0x3EAF62: COLLECTER
0x3EAF6A: MARCHES
0x3EAF72: BALADES
0x3EAF78: IL
0x3EAF7D: EST ALLÉ
0x3EAF82: IL
0x3EAF87: RÉVEILLEZ-VOUS
0x3EAF8F: SE RÉVEILLE
0x3EAF98: ANGERS
0x3EAF9F: ENSEIGNER
0x3EAFA5: ENSEIGNE
0x3EAFAD: S'IL TE PLAÎT
0x3EAFB4: APPRENDRE
0x3EAFBA: CHANGEMENT
0x3EAFC1: HISTOIRE
0x3EAFC7: CONFIANCE
0x3EAFCD: SOMPTUEUX
0x3EAFD4: ECOUTE
0x3EAFDC: PUBLIC
0x3EAFE4: TRAINS
0x3EAFEB: CHOISIR
0x3EAFF2: UN
0x3EAFF7: EST VENU
0x3EAFFC: Recherche
0x3EB003: FAIRE
0x3EB008: CAUSE
0x3EB00E: SAVOIR
0x3EB013: SAIT
0x3EB019: REFUSER
0x3EB020: MAGASINS
0x3EB027: SE VANTER
0x3EB02C: IGNORANT
0x3EB035: PENSE
0x3EB03C: CROIRE
0x3EB044: GLISSER
0x3EB04A: BEAUCOUP
0x3EB053: UTILISATIONS
0x3EB058: EN UTILISANT
0x3EB05E: NE POUVAIT PAS
0x3EB067: CAPABLE
0x3EB06F: DISPARAÎTRE
0x3EB079: APPARAÎTRE
0x3EB080: LANCIER
0x3EB086: INQUIÉTUDE
0x3EB08C: DORMIR
0x3EB092: DORMIR
0x3EB098: LIBÉRER
0x3EB0A0: BOISSONS
0x3EB0A7: COURS
0x3EB0B0: TRAVAUX
0x3EB0B6: FONCTIONNEMENT
0x3EB0BE: PARLER
0x3EB0C6: PARLER
0x3EB0CB: COULER
0x3EB0D0: CLAQUE
0x3EB0D6: PRÉTENDRE
0x3EB0DE: LOUER
0x3EB0E5: EXAGÉRER
0x3EB0EC: MONTRER
0x3EB0F1: SALUTATIONS
0x3EB0F7: TU PEUX
0x3EB0FC: CHERCHER
0x3EB105: PRENDRE
0x3EB10A: PERMETTRE
0x3EB110: OUBLIER
0x3EB117: OUBLIE
0x3EB11F: APPARAÎT
0x3EB127: S'ÉVANOUIR
0x3EB12D: évanoui
0x3EB4E7: Maison
0x3EB4EC: Argent
0x3EB4F2: Allocation
0x3EB4FC: Bain
0x3EB501: Conversation
0x3EB50E: École
