0x166D319: Bourrinos
0x166D324: Araqua
0x166D32F: Tarenbulle
0x166D33A: Mimantis
0x166D345: Floramantis
0x166D350: Spododo
0x166D35B: Lampignon
0x166D366: Tritox
0x166D371: Malamandre
0x166D37C: Nounourson
0x166D387: Chelours
0x166D392: Croquine
0x166D39D: Candine
0x166D3A8: Sucreine
0x166D3B3: Guérilande
0x166D3BE: Gouroutan
0x166D3C9: Quartermac
0x166D3D4: Sovkipou
0x166D3DF: Sarmuraï
0x166D3EA: Bacabouh
0x166D3F5: Trépassable
0x166D400: Concombaffe
0x166D40B: Type : Nul
0x166D416: Silvallié
0x166D421: Météno
0x166D42C: Dodoala
0x166D437: Boumata
0x166D442: Togedemaru
0x166D44D: Mimiqui
0x166D458: Denticrisse
0x166D463: Draïeul
0x166D46E: Sinistrail
0x166D479: Bébécaille
0x166D484: Écaïd
0x166D48F: Ékaïser
0x166D49A: Tokorico
0x166D4A5: Tokopiyon
0x166D4B0: Tokotoro
0x166D4BB: Tokopisco
0x166D4C6: Cosmog
0x166D4D1: Cosmovum
0x166D4DC: Solgaleo
0x166D4E7: Lunala
0x166D4F2: Zéroïd
0x166D4FD: Mouscoto
0x166D508: Cancrelove
0x166D513: Câblifère
0x166D51E: Bamboiselle
0x166D529: Katagami
0x166D534: Engloutyran
0x166D53F: Necrozma
0x166D54A: Magearna
0x166D555: Marshadow
0x166D560: Rattata
0x166D56B: Rattatac
0x166D576: Raichu
0x166D581: Sabelette
0x166D58C: Sablaireau
0x166D597: Goupix
0x166D5A2: Feunard
0x166D5AD: Taupiqueur
0x166D5B8: Triopikeur
0x166D5C3: Miaouss
0x166D5CE: Persian
0x166D5D9: Racaillou
0x166D5E4: Gravalanch
0x166D5EF: Grolem
0x166D5FA: Tadmorv
0x166D610: Noeunoeuf
0x166D61B: Noadkoko
0x166D626: Osselait
0x166D631: Ossatueur
0x166D63C: Deoxys
0x166D647: Deoxys
0x166D652: Deoxys
0x166D65D: Plumeline
0x166D668: Plumeline
0x166D673: Plumeline
0x166D67E: Lougaroc
0x166D689: Froussardine
0x166D694: Silvallié
0x166D69F: Silvallié
0x166D6AA: Silvallié
0x166D6B5: Silvallié
0x166D6C0: Silvallié
0x166D6CB: Silvallié
0x166D6D6: Silvallié
0x166D6E1: Silvallié
0x166D6EC: Silvallié
0x166D6F7: Silvallié
0x166D702: Silvallié
0x166D70D: Silvallié
0x166D718: Silvallié
0x166D723: Silvallié
0x166D72E: Silvallié
0x166D739: Silvallié
0x166D744: Silvallié
0x166D74F: Météno
0x166D75A: Météno
0x166D765: Météno
0x166D770: Météno
0x166D77B: Météno
0x166D786: Météno
0x166D791: Météno
0x166D79C: Mimiqui
0x166D7A7: Magearna
0x166D7B2: Vémini
0x166D7BD: Mandrillon
0x166D7C8: Ama-Ama
0x166D7D3: Noirphalon
0x166D7DE: Zeraora
0x166D7E9: Necrozma
0x166D7F4: Necrozma
0x166D7FF: Necrozma
0x166D80A: Lougaroc
0x166D815: Meltan
