0xA44CE7: Michael
0xA44CEF: Alexander
0xA44CF9: Ethan
0xA44CFF: Daniel
0xA44D06: Matthew
0xA44D0E: Aiden
0xA44D14: Henry
0xA44D1A: Joseph
0xA44D21: Jackson
0xA44D29: Samuel
0xA44D30: Sebastian
0xA44D3A: David
0xA44D40: Carter
0xA44D47: Wyatt
0xA44D4D: Jayden
0xA44D54: John
0xA44D59: Owen
0xA44D5E: Dylan
0xA44D64: Luke
0xA44D69: Gabriel
0xA44D71: Anthony
0xA44D79: Isaac
0xA44D7F: Grayson
0xA44D87: Jack
0xA44D8C: Julian
0xA44D93: Levi
0xA44D98: Christopher
0xA44DA4: Joshua
0xA44DAB: Andrew
0xA44DB2: Lincoln
0xA44DBA: Mateo
0xA44DC0: Ryan
0xA44DC5: Jaxon
0xA44DCB: Nathan
0xA44DD2: Aaron
0xA44DD8: Isaiah
0xA44DDF: Thomas
0xA44DE6: Charles
0xA44DEE: Caleb
0xA44DF4: Josiah
0xA44DFB: Christian
0xA44E05: Hunter
0xA44E10: Jonathan
0xA44E19: Connor
0xA44E20: Landon
0xA44E27: Adrian
0xA44E2E: Asher
0xA44E34: Cameron
0xA44E40: Theodore
0xA44E49: Jeremiah
0xA44E52: Hudson
0xA44E59: Robert
0xA44E60: Easton
0xA44E67: Nolan
0xA44E6D: Nicholas
0xA44E76: Ezra
0xA44E7B: Colton
0xA44E82: Angel
0xA44E88: Brayden
0xA44E90: Jordan
0xA44E97: Dominic
0xA44E9F: Austin
0xA44EAA: Adam
0xA44EAF: Elias
0xA44EB5: Jaxson
0xA44EBC: Greyson
0xA44EC4: Jose
0xA44EC9: Ezekiel
0xA44ED1: Carson
0xA44ED8: Evan
0xA44EDD: Maverick
0xA44EE6: Bryson
0xA44EED: Jace
0xA44EF2: Cooper
0xA44EF9: Xavier
0xA44F00: Parker
0xA44F07: Roman
0xA44F0D: Jason
0xA44F13: Santiago
0xA44F1C: Chase
0xA44F22: Sawyer
0xA44F29: Gavin
0xA44F2F: Leonardo
0xA44F38: Kayden
0xA44F3F: Ayden
0xA44F45: Jameson
0xA44F4D: Emma
0xA44F52: Olivia
0xA44F5D: Isabella
0xA44F66: Sophia
0xA44F71: Charlotte
0xA44F7B: Amelia
0xA44F82: Evelyn
0xA44F89: Abigail
0xA44F91: Harper
0xA44F98: Emily
0xA44F9E: Elizabeth
0xA44FA8: Avery
0xA44FAE: Sofia
0xA44FB4: Ella
0xA44FB9: Madison
0xA44FC1: Scarlett
0xA44FCA: Victoria
0xA44FD3: Aria
0xA44FD8: Grace
0xA44FDE: Chloe
0xA44FE4: Camila
0xA44FEB: Penelope
0xA44FF4: Riley
0xA44FFA: Layla
0xA45000: Lillian
0xA45008: Nora
0xA4500D: Zoey
0xA45012: Mila
0xA45017: Aubrey
0xA4501E: Hannah
0xA45025: Lily
0xA4502A: Addison
0xA45032: Eleanor
0xA4503A: Natalie
0xA45042: Luna
0xA45047: Savannah
0xA45050: Brooklyn
0xA45059: Leah
0xA45062: Stella
0xA45069: Hazel
0xA4506F: Ellie
0xA45075: Paisley
0xA4507D: Audrey
0xA45084: Skylar
0xA4508B: Violet
0xA45092: Claire
0xA45099: Bella
0xA4509F: Aurora
0xA450A6: Lucy
0xA450AB: Anna
0xA450B0: Samantha
0xA450B9: Caroline
0xA450C2: Genesis
0xA450CA: Aaliyah
0xA450D2: Kennedy
0xA450DA: Kinsley
0xA450E2: Allison
0xA450EA: Maya
0xA450EF: Sarah
0xA450F5: Madelyn
0xA450FD: Adeline
0xA45105: Alexa
0xA4510B: Ariana
0xA45112: Elena
0xA45118: Gabriella
0xA45122: Naomi
0xA45128: Alice
0xA4512E: Sadie
0xA45134: Hailey
0xA4513F: Emilia
0xA45146: Autumn
0xA4514D: Quinn
0xA45153: Nevaeh
0xA4515A: Piper
0xA45160: Ruby
0xA45165: Serenity
0xA4516E: Willow
0xA45175: Everly
0xA4517C: Cora
0xA45181: Kaylee
0xA45188: Lydia
0xA4518E: Aubree
0xA45195: Arianna
0xA4519D: Eliana
0xA451A4: Peyton
0xA451AB: Melanie
0xA451B3: Gianna
0xA451BA: Isabelle
0xA451C3: Julia
0xA451C9: Valentina
0xA451D3: Nova
0xA451D8: Clara
0xA451DE: Vivian
0xA451E5: Reagan
0xA451EC: Mackenzie
0xA451F6: Madeline
0xA451FF: Palmer
0xA45206: Patroz
0xA4520D: Pablo
