0x16695C8: Cette Plumeline a siroté du nectar\nviolet. Certains danseurs\ns'inspirent de sa danse gracieuse et\nélégante.
0x166962F: Ils vivent seuls sans former de\nmeute. Ils n'obéissent qu'à ceux qui\nsavent révéler leur vrai pouvoir.
0x166969F: Cette forme étrange vient d'une\névolution au crépuscule. Un esprit\ncombatif intense se cache sous son\ncalme.
0x166970A: À leur apparition, même les Léviator\ns'enfuient. Ensemble avec Pistolet à\nO, leur puissance dépasse\nHydrocanon.
0x166977D: Voici Necrozma lorsqu'il absorbe la\nforce de Solgaleo, le rendant très\nféroce et impossible à contrôler.
0x16697EE: Lunala n'a plus de volonté propre.\nSous contrôle de Necrozma, elle\nexpulse sans cesse toute son\nénergie.
0x1669863: C'est sa forme après avoir absorbé\nune lumière écrasante. Il tire des\nlasers depuis tout son corps.
0x16698D1: Il fonctionne grâce à son âme\nartificielle. Sa décoration vive\nprouve qu'il fut offerte à la\nroyauté.
0x1669947: Le moindre choc suffit parfois à lui\nfaire recracher l'Embrochet coincé\ndans sa gorge.
0x16699B2: Ce Nigosier a coincé un Pikachu dans\nson gosier. Il semble s'étouffer\nmais cela ne le gêne pas.
0x1669A2A: En générant de l'électricité, il\nemplit les environs d'un son\nrappelant une guitare basse.
0x1669A94: Le tourbillon sur son corps est sa\nfaiblesse. S'il est remué, il perd\nsa forme et titube.
0x1669B05: En colère, il envoie du thé dans la\nbouche de l'agresseur. Avalé, ce thé\nprovoque de forts frissons.
0x1669B75: Il a évolué d'un Crèmy qui tenait un\nBonbon Baie. La saveur de sa crème\ndépend de la façon dont elle a été\nmélangée.
0x1669BE2: Il a évolué d'un Crèmy qui tenait un\nBonbon Trèfle. La saveur de sa crème\ndépend de la façon dont elle a été\nmélangée.
0x1669C50: Il a évolué d'un Crèmy qui tenait un\nBonbon Fleur. La saveur de sa crème\ndépend de la façon dont elle a été\nmélangée.
0x1669CBE: Il a évolué d'un Crèmy qui tenait un\nBonbon Cœur. La saveur de sa crème\ndépend de la façon dont elle a été\nmélangée.
0x1669D2A: Il a évolué d'un Crèmy qui tenait un\nBonbon Ruban. La saveur de sa crème\ndépend de la façon dont elle a été\nmélangée.
0x1669D98: Il a évolué d'un Crèmy qui tenait un\nBonbon Étoile. La saveur de sa crème\ndépend de la façon dont elle a été\nmélangée.
0x1669E04: La glace recouvrant le visage de ce\nPokémon s'est brisée, révélant une\nexpression inquiète qui en séduit\nplus d'un.
0x1669E74: Ces Pokémon intelligents se touchent\nles cornes pour partager leurs\ninformations.
0x1669ECD: Une faim intense le rend violent.\nJusqu'à être rassasié, il se livre à\ntoutes sortes d'actes mauvais.
0x1669F45: Armé de l'arme qu'il maniait jadis,\nce Pokémon n'a besoin que d'un coup\npour abattre n'importe quelle cible.
0x1669FB3: Une fois son bouclier équipé, il\nencaisse même les coups des\nadversaires Dynamaxés.
0x166A015: Une énergie infinie jaillit de son\nnoyau augmenté, déformant\nl'espace-temps alentour.
0x166A07C: Cette forme de Shifours croit dur\ncomme fer qu'il faut abattre ses\nennemis sous une pluie de coups.
0x166A0D9: Ce Zarude a quitté sa meute pour\nélever un enfant humain. Il\nl'enveloppait de sa liane pour\napaiser ses pleurs.
0x166A14E: On dit qu'il a déplacé une grande\nforêt vers un nouvel endroit en une\nseule nuit.
0x166A1A2: On dit qu'en usant de son pouvoir,\nce Pokémon a sauvé les créatures\nd'une forêt d'une chute de\nmétéorite.
0x166A20C: Ces Pokémon vivent en meute dans les\nmontagnes enneigées et se défendent\ngrâce à un souffle glacé.
0x166A266: Il guiderait les gens vertueux\négarés sur les sentiers de montagne\njusqu'au pied du mont.
0x166A2D6: Voltorbe libère le courant stocké\ndans son ventre, puis éclate de\nrire.
0x166A345: Agacé, ce Pokémon libère un courant\négal à 20 éclairs.
0x166A39E: On dit qu'il purifie les âmes\nperdues et abandonnées grâce à ses\nflammes et les guide vers l'au-delà.
0x166A3F9: Les pêcheurs détestent ce Pokémon\nennuyeux car il asperge tout de\npoison depuis ses épines.
0x166A464: Le bout de ses griffes goutte un\nvenin qui infiltre les nerfs de\ntoute proie qu'il attrape.
0x166A4CA: Dur de cœur et maître de la lame,\nses coups turbulents frappent les\nennemis comme des vagues sans fin.
0x166A52E: Les feuilles sur sa tête sont très\nprisées comme remède une fois\nséchées et bouillies au soleil.
0x166A590: Ce Bargantua diffère par son\ncomportement : celui-ci est doux.
0x166A5F4: Une âme revenue à la vie. Il tire sa\npuissance de la rancœur qui monte en\nénergie au-dessus de sa tête.
0x166A663: Sans souci pour lui-même, il attaque\nses ennemis jurés avec une énergie\namère si intense qu'il se lacère\nlui-même.
0x166A6D2: On dit qu'il fait exploser les lacs\navec des ondes de choc, puis ramasse\ntoutes les proies qui flottent à la\nsurface de l'eau.
0x166A739: On dit que sa coque métallique s'est\ndéveloppée à cause du mucus sur sa\npeau réagissant avec le fer présent\ndans l'eau ancienne.
0x166A7AF: Capable de contrôler librement la\ndureté de sa coque métallique. Il\ndéteste la solitude et est\nextrêmement collant.
0x166A817: L'armure de glace recouvrant sa\nmâchoire inférieure fait honte à\nl'acier et peut facilement briser\nles rochers.
0x166A874: L'air stocké à l'intérieur des\nrachis des plumes d'Archéduc isole\nle Pokémon du froid extrême.
0x166A8DB: Djinn
0x166A8E1: Roi Suprême
0x166A8EB: Corne Unique
0x166A8F7: Dansant
0x166A8FF: Maître Hex
0x166A907: Cruel
0x166A90D: Jambes Puissantes
0x166A919: Malveillant
0x166A924: Charme Zen
0x166A92E: Éclaireur
0x166A934: Sphère
0x166A93B: Flamme Spectrale
0x166A947: Tournoyant
0x166A950: Apaisé
0x166A957: Renard Rancunier
0x166A963: Renard Funeste
0x166A96F: Cri de Guerre
0x166A97A: Escargot
0x166A980: Bunker Coquille
0x166A997: Bulbizarre
0x166A9A2: Herbizarre
0x166A9AD: Florizarre
0x166A9B8: Salamèche
0x166A9C3: Reptincel
0x166A9CE: Dracaufeu
0x166A9D9: Carapuce
0x166A9E4: Carabaffe
0x166A9EF: Tortank
0x166A9FA: Chenipan
0x166AA05: Chrysacier
0x166AA10: Papilusion
0x166AA1B: Aspicot
0x166AA26: Coconfort
0x166AA31: Dardargnan
0x166AA3C: Roucool
0x166AA47: Roucoups
0x166AA52: Roucarnage
0x166AA5D: Rattata
0x166AA68: Rattatac
0x166AA73: Piafabec
0x166AA7E: Rapasdepic
0x166AA89: Abo
0x166AA94: Arbok
0x166AA9F: Pikachu
0x166AAAA: Raichu
0x166AAB5: Sabelette
0x166AAC0: Sablaireau
0x166AACB: Nidoran♀
0x166AAD6: Nidorina
0x166AAE1: Nidoqueen
0x166AAEC: Nidoran♂
0x166AAF7: Nidorino
0x166AB02: Nidoking
0x166AB0D: Mélofée
0x166AB18: Mélodelfe
0x166AB23: Goupix
0x166AB2E: Feunard
0x166AB39: Rondoudou
0x166AB44: Grodoudou
0x166AB4F: Nosferapti
0x166AB5A: Nosferalto
0x166AB65: Mystherbe
0x166AB70: Ortide
0x166AB7B: Rafflesia
0x166AB86: Paras
0x166AB91: Parasect
0x166AB9C: Mimitoss
0x166ABA7: Aéromite
0x166ABB2: Taupiqueur
0x166ABBD: Triopikeur
0x166ABC8: Miaouss
0x166ABD3: Persian
0x166ABDE: Psykokwak
0x166ABE9: Akwakwak
0x166ABF4: Ferosinge
0x166ABFF: Colossinge
0x166AC0A: Caninos
0x166AC15: Arcanin
0x166AC20: Ptitard
0x166AC2B: Têtarte
0x166AC36: Tartard
0x166AC41: Abra
0x166AC4C: Kadabra
0x166AC57: Alakazam
0x166AC62: Machoc
0x166AC6D: Machopeur
0x166AC78: Mackogneur
0x166AC83: Chétiflor
0x166AC8E: Boustiflor
0x166AC99: Empiflor
0x166ACA4: Tentacool
0x166ACAF: Tentacruel
0x166ACBA: Racaillou
0x166ACC5: Gravalanch
0x166ACD0: Grolem
0x166ACDB: Ponyta
0x166ACE6: Galopa
0x166ACF1: Ramoloss
0x166ACFC: Flagadoss
0x166AD07: Magnéti
0x166AD12: Magnéton
0x166AD1D: Canarticho
0x166AD28: Doduo
0x166AD33: Dodrio
0x166AD3E: Otaria
0x166AD49: Lamantine
0x166AD54: Tadmorv
0x166AD6A: Kokiyas
0x166AD75: Crustabri
0x166AD80: Fantominus
0x166AD8B: Spectrum
0x166AD96: Ectoplasma
0x166ADA1: Onix
0x166ADAC: Soporifik
0x166ADB7: Hypnomade
0x166ADC2: Krabby
0x166ADCD: Krabboss
0x166ADD8: Voltorbe
0x166ADE3: Électrode
0x166ADEE: Noeunoeuf
0x166ADF9: Noadkoko
0x166AE04: Osselait
0x166AE0F: Ossatueur
0x166AE1A: Kicklee
0x166AE25: Tygnon
0x166AE30: Excelangue
0x166AE3B: Smogo
0x166AE46: Smogogo
0x166AE51: Rhinocorne
0x166AE5C: Rhinoféros
0x166AE67: Leveinard
0x166AE72: Saquedeneu
0x166AE7D: Kangourex
0x166AE88: Hypotrempe
0x166AE93: Hypocéan
0x166AE9E: Poissirène
0x166AEA9: Poissoroy
0x166AEB4: Stari
0x166AEBF: Staross
0x166AECA: M. Mime
0x166AED5: Insécateur
0x166AEE0: Lippoutou
0x166AEEB: Élektek
0x166AEF6: Magmar
0x166AF01: Scarabrute
0x166AF0C: Tauros
0x166AF17: Magicarpe
0x166AF22: Léviator
0x166AF2D: Lokhlass
0x166AF38: Métamorph
0x166AF43: Évoli
0x166AF4E: Aquali
0x166AF59: Voltali
0x166AF64: Pyroli
0x166AF6F: Porygon
0x166AF7A: Amonita
0x166AF85: Amonistar
0x166AF90: Kabuto
0x166AF9B: Kabutops
0x166AFA6: Ptéra
0x166AFB1: Ronflex
0x166AFBC: Artikodin
0x166AFC7: Électhor
0x166AFD2: Sulfura
0x166AFDD: Minidraco
0x166AFE8: Draco
0x166AFF3: Dracolosse
0x166AFFE: Mewtwo
0x166B014: Germignon
0x166B01F: Macronium
0x166B02A: Méganium
0x166B035: Héricendre
0x166B040: Feurisson
0x166B04B: Typhlosion
0x166B056: Kaiminus
0x166B061: Crocrodil
0x166B06C: Aligatueur
0x166B077: Fouinette
0x166B082: Fouinar
0x166B08D: Hoothoot
0x166B098: Noarfang
0x166B0A3: Coxy
0x166B0AE: Coxyclaque
0x166B0B9: Mimigal
0x166B0C4: Migalos
0x166B0CF: Nostenfer
0x166B0DA: Loupio
0x166B0E5: Lanturn
0x166B0F0: Pichu
0x166B0FB: Mélo
0x166B106: Toudoudou
0x166B111: Togepi
0x166B11C: Togetic
0x166B127: Natu
0x166B132: Xatu
