0x166B1A0: Floravol
0x166B1AB: Cotovol
0x166B1B6: Capumain
0x166B1C1: Tournegrin
0x166B1CC: Héliatronc
0x166B1D7: Yanma
0x166B1E2: Axoloto
0x166B1ED: Maraiste
0x166B1F8: Mentali
0x166B203: Noctali
0x166B20E: Cornèbre
0x166B219: Roigada
0x166B224: Feuforêve
0x166B22F: Zarbi
0x166B23A: Qulbutoké
0x166B245: Girafarig
0x166B250: Pomdepik
0x166B25B: Foretress
0x166B266: Insolourdo
0x166B271: Scorplane
0x166B27C: Steelix
0x166B287: Snubbull
0x166B292: Granbull
0x166B29D: Qwilfish
0x166B2A8: Cizayox
0x166B2B3: Caratroc
0x166B2BE: Scarhino
0x166B2C9: Farfuret
0x166B2D4: Teddiursa
0x166B2DF: Ursaring
0x166B2EA: Limagma
0x166B2F5: Volcaropod
0x166B300: Marcacrin
0x166B30B: Cochignon
0x166B316: Corayon
0x166B321: Rémoraid
0x166B32C: Octillery
0x166B337: Cadoizo
0x166B342: Démanta
0x166B34D: Airmure
0x166B358: Malosse
0x166B363: Démolosse
0x166B36E: Hyporoi
0x166B379: Phanpy
0x166B384: Donphan
0x166B38F: Porygon2
0x166B39A: Cerfrousse
0x166B3A5: Queulorior
0x166B3B0: Debugant
0x166B3BB: Kapoera
0x166B3C6: Lippouti
0x166B3D1: Élekid
0x166B3DC: Magby
0x166B3E7: Écrémeuh
0x166B3F2: Leuphorie
0x166B3FD: Raikou
0x166B408: Entei
0x166B413: Suicune
0x166B41E: Embrylex
0x166B429: Ymphect
0x166B434: Tyranocif
0x166B43F: Lugia
0x166B44A: Ho-Oh
0x166B455: Celebi
0x166B46B: MISSINGNO.
0x166B573: Arcko
0x166B57E: Massko
0x166B589: Jungko
0x166B594: Poussifeu
0x166B59F: Galifeu
0x166B5AA: Braségali
0x166B5B5: Gobou
0x166B5C0: Flobio
0x166B5CB: Laggron
0x166B5D6: Medhyèna
0x166B5E1: Grahyèna
0x166B5EC: Zigzaton
0x166B5F7: Linéon
0x166B602: Chenipotte
0x166B60D: Armulys
0x166B618: Charmillon
0x166B623: Blindalys
0x166B62E: Papinox
0x166B639: Nénupiot
0x166B644: Lombre
0x166B64F: Ludicolo
0x166B65A: Grainipiot
0x166B665: Pifeuil
0x166B670: Tengalice
0x166B67B: Ningale
0x166B686: Ninjask
0x166B691: Munja
0x166B69C: Nirondelle
0x166B6A7: Hélédelle
0x166B6B2: Balignon
0x166B6BD: Chapignon
0x166B6C8: Spinda
0x166B6D3: Goélise
0x166B6DE: Bekipan
0x166B6E9: Arakdo
0x166B6F4: Maskadra
0x166B6FF: Wailmer
0x166B70A: Wailord
0x166B715: Skitty
0x166B720: Delcatty
0x166B72B: Kecleon
0x166B736: Balbuto
0x166B741: Kaorine
0x166B74C: Tarinor
0x166B757: Chartor
0x166B762: Ténéfix
0x166B76D: Barloche
0x166B778: Barbicha
0x166B783: Lovdisc
0x166B78E: Écrapince
0x166B799: Colhomard
0x166B7A4: Barpau
0x166B7AF: Milobellus
0x166B7BA: Carvanha
0x166B7C5: Sharpedo
0x166B7D0: Kraknoix
0x166B7DB: Vibraninf
0x166B7E6: Libégon
0x166B7F1: Makuhita
0x166B7FC: Hariyama
0x166B807: Dynavolt
0x166B812: Élecsprint
0x166B81D: Chamallot
0x166B828: Camérupt
0x166B833: Obalie
0x166B83E: Phogleur
0x166B849: Kaimorse
0x166B854: Cacnea
0x166B85F: Cacturne
0x166B86A: Stalgamin
0x166B875: Oniglali
0x166B880: Séléroc
0x166B88B: Solaroc
0x166B896: Azurill
0x166B8A1: Spoink
0x166B8AC: Groret
0x166B8B7: Posipi
0x166B8C2: Négapi
0x166B8CD: Mysdibule
0x166B8D8: Méditikka
0x166B8E3: Charmina
0x166B8EE: Tylton
0x166B8F9: Altaria
0x166B904: Okéoké
0x166B90F: Skelénox
0x166B91A: Téraclope
0x166B925: Rosélia
0x166B930: Parecool
0x166B93B: Vigoroth
0x166B946: Monaflèmit
0x166B951: Gloupti
0x166B95C: Avaltout
0x166B967: Tropius
0x166B972: Chuchmur
0x166B97D: Ramboum
0x166B988: Brouhabam
0x166B993: Coquiperl
0x166B99E: Serpang
0x166B9A9: Rosabyss
0x166B9B4: Absol
0x166B9BF: Polichombr
0x166B9CA: Branette
0x166B9D5: Séviper
0x166B9E0: Mangriff
0x166B9EB: Relicanth
0x166B9F6: Galekid
0x166BA01: Galegon
0x166BA0C: Galeking
0x166BA17: Morphéo
0x166BA22: Muciole
0x166BA2D: Lumivole
0x166BA38: Lilia
0x166BA43: Vacilys
0x166BA4E: Anorith
0x166BA59: Armaldo
0x166BA64: Tarsal
0x166BA6F: Kirlia
0x166BA7A: Gardevoir
0x166BA85: Draby
0x166BA90: Drackhaus
0x166BA9B: Drattak
0x166BAA6: Terhal
0x166BAB1: Métang
0x166BABC: Métalosse
0x166BAC7: Regirock
0x166BAD2: Regice
0x166BADD: Registeel
0x166BAE8: Kyogre
0x166BAF3: Groudon
0x166BAFE: Rayquaza
0x166BB09: Latias
0x166BB14: Latios
0x166BB1F: Jirachi
0x166BB2A: Deoxys
0x166BB35: Éoko
0x166BB40: Bad Egg
0x166BB4B: Zarbi B
0x166BB56: Zarbi C
0x166BB61: Zarbi D
0x166BB6C: Zarbi E
0x166BB77: Zarbi F
0x166BB82: Zarbi G
0x166BB8D: Zarbi H
0x166BB98: Zarbi I
0x166BBA3: Zarbi J
0x166BBAE: Zarbi K
0x166BBB9: Zarbi L
0x166BBC4: Zarbi M
0x166BBCF: Zarbi N
0x166BBDA: Zarbi O
0x166BBE5: Zarbi P
0x166BBF0: Zarbi Q
0x166BBFB: Zarbi R
0x166BC06: Zarbi S
0x166BC11: Zarbi T
0x166BC1C: Zarbi U
0x166BC27: Zarbi V
0x166BC32: Zarbi W
0x166BC3D: Zarbi X
0x166BC48: Zarbi Y
0x166BC53: Zarbi Z
0x166BC5E: Zarbi !
0x166BC69: Zarbi ?
0x166BC74: Tortipouss
0x166BC7F: Boskara
0x166BC8A: Torterra
0x166BC95: Ouisticram
0x166BCA0: Chimpenfeu
0x166BCAB: Simiabraz
0x166BCB6: Tiplouf
0x166BCC1: Prinplouf
0x166BCCC: Pingoléon
0x166BCD7: Étourmi
0x166BCE2: Étourvol
0x166BCED: Étouraptor
0x166BCF8: Keunotor
0x166BD03: Castorno
0x166BD0E: Crikzik
0x166BD19: Mélokrik
0x166BD24: Lixy
0x166BD2F: Luxio
0x166BD3A: Luxray
0x166BD45: Rozbouton
0x166BD50: Roserade
0x166BD5B: Kranidos
