0x166C824: Tritosor
0x166C82F: Motisma
0x166C83A: Motisma
0x166C845: Motisma
0x166C850: Motisma
0x166C85B: Motisma
0x166C866: Giratina
0x166C871: Shaymin
0x166C87C: Arceus
0x166C887: Arceus
0x166C892: Arceus
0x166C89D: Arceus
0x166C8A8: Arceus
0x166C8B3: Arceus
0x166C8BE: Arceus
0x166C8C9: Arceus
0x166C8D4: Arceus
0x166C8DF: Arceus
0x166C8EA: Arceus
0x166C8F5: Arceus
0x166C900: Arceus
0x166C90B: Arceus
0x166C916: Arceus
0x166C921: Arceus
0x166C92C: Bargantua
0x166C937: Darmanitan
0x166C942: Deerling
0x166C94D: Deerling
0x166C958: Deerling
0x166C963: Sawsbuck
0x166C96E: Sawsbuck
0x166C979: Sawsbuck
0x166C984: Hippopotas
0x166C98F: Hippodocus
0x166C99A: Meloetta
0x166C9A5: Genesect
0x166C9B0: Genesect
0x166C9BB: Genesect
0x166C9C6: Genesect
0x166C9D1: Ceriflor
0x166C9DC: Kyurem
0x166C9E7: Kyurem
0x166C9F2: Tornadus
0x166C9FD: Thundurus
0x166CA08: Landorus
0x166CA13: Keldeo
0x166CA1E: Marisson
0x166CA29: Boguérisse
0x166CA34: Blindépique
0x166CA3F: Feunnec
0x166CA4A: Roussil
0x166CA55: Goupelin
0x166CA60: Grenousse
0x166CA6B: Croâporal
0x166CA76: Amphinobi
0x166CA81: Bunnelby
0x166CA8C: Diggersby
0x166CA97: Passerouge
0x166CAA2: Braisillon
0x166CAAD: Flambusard
0x166CAB8: Scatterbug
0x166CAC3: Spewpa
0x166CACE: Vivillon
0x166CAD9: Litleo
0x166CAE4: Pyroar
0x166CAFA: Floette
0x166CB05: Florges
0x166CB10: Cabriolaine
0x166CB1B: Chevroum
0x166CB26: Pancham
0x166CB31: Pangoro
0x166CB3C: Furfrou
0x166CB47: Psystigri
0x166CB52: Mistigrix
0x166CB5D: Honedge
0x166CB68: Doublade
0x166CB73: Aegislash
0x166CB7E: Fluvetin
0x166CB89: Cocotine
0x166CB94: Sucroquin
0x166CB9F: Cupcanaille
0x166CBAA: Sepiatop
0x166CBB5: Sepiatroce
0x166CBC0: Opermine
0x166CBCB: Golgopathe
0x166CBD6: Venalgue
0x166CBE1: Kravarech
0x166CBEC: Flingouste
0x166CBF7: Gamblast
0x166CC02: Galvaran
0x166CC0D: Iguolta
0x166CC18: Tyrunt
0x166CC23: Rexillius
0x166CC2E: Amaura
0x166CC39: Aurorus
0x166CC44: Nymphali
0x166CC4F: Brutalibré
0x166CC5A: Dedenne
0x166CC65: Carbink
0x166CC70: Mucuscule
0x166CC7B: Colimucus
0x166CC86: Muplodocus
0x166CC91: Trousselin
0x166CC9C: Brocélôme
0x166CCA7: Desséliande
0x166CCB2: Pitrouille
0x166CCBD: Banshitrouye
0x166CCC8: Grelaçon
0x166CCD3: Séracrawl
0x166CCDE: Sonistrelle
0x166CCE9: Bruyverne
0x166CCF4: Xerneas
0x166CCFF: Yveltal
0x166CD0A: Zygarde
0x166CD15: Diancie
0x166CD20: Hoopa
0x166CD2B: Hoopa
0x166CD36: Volcanion
0x166CD41: Pyroar
0x166CD4C: Mistigrix
0x166CD57: Aegislash
0x166CD62: Arceus
0x166CD6D: Zygarde
0x166CD78: Zygarde
0x166CD83: Zygarde
0x166CD8E: Zygarde
0x166CD99: Amphinobi
0x166CDD0: Floette
0x166CDDB: Floette
0x166CDE6: Floette
0x166CDF1: Floette
0x166CDFC: Floette
0x166CE07: Florges
0x166CE12: Florges
0x166CE1D: Florges
0x166CE28: Florges
0x166CE33: Pitrouille
0x166CE3E: Pitrouille
0x166CE49: Pitrouille
0x166CE54: Banshitrouye
0x166CE5F: Banshitrouye
0x166CE6A: Banshitrouye
0x166CE75: Furfrou
0x166CE80: Furfrou
0x166CE8B: Furfrou
0x166CE96: Furfrou
0x166CEA1: Furfrou
0x166CEAC: Furfrou
0x166CEB7: Furfrou
0x166CEC2: Furfrou
0x166CECD: Furfrou
0x166CED8: Vivillon
0x166CEE3: Venusaur
0x166CEEE: Dracaufeu
0x166CEF9: Dracaufeu
0x166CF04: Blastoise
0x166CF0F: Dardargnan
0x166CF1A: Pidgeot
0x166CF25: Alakazam
0x166CF30: Slowbro
0x166CF3B: Ectoplasma
0x166CF46: Kangourex
0x166CF51: Scarabrute
0x166CF5C: Léviator
0x166CF67: Aerodactyl
0x166CF72: Mewtwo
0x166CF7D: Mewtwo
0x166CF88: Ampharos
0x166CF93: Steelix
0x166CF9E: Cizayox
0x166CFA9: Heracross
0x166CFB4: Démolosse
0x166CFBF: Tyranocif
0x166CFCA: Jungko
0x166CFD5: Braségali
0x166CFE0: Laggron
0x166CFEB: Gardevoir
0x166CFF6: Sableye
0x166D001: Mysdibule
0x166D00C: Galeking
0x166D017: Charmina
0x166D022: Élecsprint
0x166D02D: Sharpedo
0x166D038: Camerupt
0x166D043: Altaria
0x166D04E: Banette
0x166D059: Absol
0x166D064: Glalie
0x166D06F: Drattak
0x166D07A: Métalosse
0x166D085: Latias
0x166D090: Latios
0x166D09B: Groudon
0x166D0A6: Kyogre
0x166D0B1: Rayquaza
0x166D0BC: Lockpin
0x166D0C7: Carchacrok
0x166D0D2: Lucario
0x166D0DD: Blizzaroi
0x166D0E8: Gallame
0x166D0F3: Audino
0x166D0FE: Diancie
0x166D109: Dialga
0x166D114: Palkia
0x166D11F: Vivillon
0x166D12A: Vivillon
0x166D135: Vivillon
0x166D140: Vivillon
0x166D14B: Vivillon
0x166D156: Vivillon
0x166D161: Vivillon
0x166D16C: Vivillon
0x166D177: Vivillon
0x166D182: Vivillon
0x166D18D: Vivillon
0x166D198: Vivillon
0x166D1A3: Vivillon
0x166D1AE: Vivillon
0x166D1B9: Vivillon
0x166D1C4: Vivillon
0x166D1CF: Vivillon
0x166D1DA: Vivillon
0x166D1E5: Brindibou
0x166D1F0: Efflèche
0x166D1FB: Archéduc
0x166D206: Flamiaou
0x166D211: Matoufeu
0x166D21C: Félinferno
0x166D227: Otaquin
0x166D232: Otarlette
0x166D23D: Oratoria
0x166D248: Picassaut
0x166D253: Piclairon
0x166D25E: Bazoucan
0x166D269: Manglouton
0x166D274: Argouste
0x166D27F: Larvibule
0x166D28A: Chrysapile
0x166D295: Lucanon
0x166D2A0: Crabagarre
0x166D2AB: Crabominable
0x166D2B6: Plumeline
0x166D2C1: Bombydou
0x166D2CC: Rubombelle
0x166D2D7: Rocabot
0x166D2E2: Lougaroc
0x166D2ED: Froussardine
0x166D2F8: Vorastérie
0x166D303: Prédastérie
0x166D30E: Tiboudet
