offset,start,end,length_bytes,text,note
0x028780,0x028780,0x0287A2,35,{B_ATK_NAME_WITH_PREFIX}’s type became\nthe same as {B_DEF_NAME_WITH_PREFIX}’s!,
0x172482,0x172482,0x1724BE,61,"I might be little, but I won’t like\nit if you go easy on me!",
0x1724BF,0x1724BF,0x1724DB,29,"Oh, boo.\nNothing went right.",
0x1724DC,0x1724DC,0x1724F8,29,I lost some of my allowance…,
0x1724F9,0x1724F9,0x17251A,34,Did you know that Pokémon evolve?,
0x17251B,0x17251B,0x172526,12,Oh!\nI lost!,
0x172FC3,0x172FC3,0x17302B,105,Only trainers who have proved\nthemselves worthy in battle may\lpass through here.\p...\pYou are not worthy.,
0x1737AF,0x1737AF,0x1737D1,35,{PLAYER} obtained HM01\nfrom the CAPTAIN!,
0x1762D7,0x1762D7,0x176304,46,{PLAYER} obtained a LAPRAS from\nthe SILPH employee!,
0x176FBD,0x176FBD,0x176FEA,46,{PLAYER} obtained a MASTER BALL\nfrom the PRESIDENT!,
0x177364,0x177364,0x177389,38,Who are you?\nWhat are you doing here?,
0x177391,0x177391,0x177396,6,Whoa!,
0x177397,0x177397,0x1773BF,41,A statue with switch?\nNever heard of it.,
0x1773C6,0x1773C6,0x1773F7,50,Do you know about the secrets this\nmansion holds?,
0x1773FD,0x1773FD,0x17740B,15,I’ll tell you.,
0x177460,0x177460,0x17747A,27,A secret switch!\pPress it?,
0x17747B,0x17747B,0x177488,14,Who wouldn’t?,
0x177489,0x177489,0x177497,15,Not quite yet!,
0x177498,0x177498,0x1774B6,31,I can’t find Successor Maxima!,
0x1774CB,0x1774CB,0x1774DA,16,"Oh, no! I lost!",
0x1774E3,0x1774E3,0x17751D,59,There’s a switch somewhere that\nopens up a path to Maxima.,
0x1776D7,0x1776D7,0x1776DD,7,Awooh!,
0x1776DE,0x1776DE,0x177714,55,I probably won’t get anywhere if I\nkeep standing here.,
0x179396,0x179396,0x1793F0,91,Watch for ONIX.\nThey appear only occasionally.\pHigh-level ones can put the\nsqueeze on you!,
0x179FA0,0x179FA0,0x179FBB,28,Be gone!\nMalevolent spirit!,
0x179FBC,0x179FBC,0x179FD2,23,Whew!\nThe spirit left!,
0x179FD3,0x179FD3,0x179FFD,43,The others…\nThey must have been possessed.,
0x17A004,0x17A004,0x17A016,19,Ghost! No!\nKwaaah!,
0x17A017,0x17A017,0x17A02A,20,Where is the ghost?,
0x17A02B,0x17A02B,0x17A045,27,I must have been dreaming…,
0x17CC56,0x17CC56,0x17CC68,19,{STR_VAR_1} min. {STR_VAR_2}.{STR_VAR_3} sec.,
0x17D80D,0x17D80D,0x17D84F,67,Hey!\nHow are you?\pHave you visited Professor Log’s\nlaboratory yet?,
0x17D866,0x17D866,0x17D87E,25,Log Pokémon Research Lab,
0x17D87F,0x17D87F,0x17D889,11,{PLAYER}’s house,
0x17D88A,0x17D88A,0x17D894,11,{RIVAL}’s house,
