0x3EA694: DEFEATED
0x3EA69D: BEAT
0x3EA6A2: GREAT
0x3EA6A8: ROMANTIC
0x3EA6B1: QUESTION
0x3EA6BA: UNDERSTAND
0x3EA6C5: UNDERSTANDS
0x3EAA14: EXISTS
0x3EAA1B: EXCESS
0x3EAA22: APPROVED
0x3EAA2F: GOOD
0x3EAA34: LESS
0x3EAA39: MOMENTUM
0x3EAA42: GOING
0x3EAA48: WEIRD
0x3EAA4E: BUSY
0x3EAA53: TOGETHER
0x3EAA5C: FULL
0x3EAA61: ABSENT
0x3EAA68: BEING
0x3EAA6E: NEED
0x3EAA73: TASTY
0x3EAA79: SKILLED
0x3EAA81: NOISY
0x3EAA8B: LATE
0x3EAA90: Close
0x3EAA96: DOCILE
0x3EAA9D: AMUSING
0x3EAAA5: ENTERTAINING
0x3EAAB2: PERFECTION
0x3EAABD: PRETTY
0x3EAAC4: HEALTHY
0x3EAACC: EXCELLENT
0x3EAAD6: UPSIDE DOWN
0x3EAAE2: COLD
0x3EAAE7: REFRESHING
0x3EAAF2: UNAVOIDABLE
0x3EAAFE: MUCH
0x3EAB03: OVERWHELMING
0x3EAB10: FABULOUS
0x3EAB19: ELSE
0x3EAB1E: EXPENSIVE
0x3EAB28: CORRECT
0x3EAB30: IMPOSSIBLE
0x3EAB3B: SMALL
0x3EAB41: DIFFERENT
0x3EAB4B: TIRED
0x3EAB51: SKILL
0x3EAB5B: NON-STOP
0x3EAB64: PREPOSTEROUS
0x3EAB71: NONE
0x3EAB76: NOTHING
0x3EAB7E: NATURAL
0x3EAB86: BECOMES
0x3EAB8E: LUKEWARM
0x3EAB97: Fast
0x3EABA0: AWFUL
0x3EABA6: ALONE
0x3EABAC: BORED
0x3EABB2: SECRET
0x3EABB9: MYSTERY
0x3EABC1: LACKS
0x3EABC7: BEST
0x3EABCC: LOUSY
0x3EABD2: MISTAKE
0x3EABDA: KIND
0x3EABDF: WELL
0x3EABE4: WEAKENED
0x3EABED: SIMPLE
0x3EABF4: SEEMS
0x3EABFA: BADLY
0x3EAF42: CONCEDE
0x3EAF4A: GIVE
0x3EAF4F: GIVES
0x3EAF55: PLAYED
0x3EAF5C: PLAYS
0x3EAF62: COLLECT
0x3EAF6A: WALKING
0x3EAF72: WALKS
0x3EAF78: SAYS
0x3EAF7D: WENT
0x3EAF82: SAID
0x3EAF87: WAKE UP
0x3EAF8F: WAKES UP
0x3EAF98: ANGERS
0x3EAF9F: TEACH
0x3EAFA5: TEACHES
0x3EAFAD: PLEASE
0x3EAFB4: LEARN
0x3EAFBA: CHANGE
0x3EAFC1: STORY
0x3EAFC7: TRUST
0x3EAFCD: LAVISH
0x3EAFD4: LISTENS
0x3EAFDC: HEARING
0x3EAFE4: TRAINS
0x3EAFEB: CHOOSE
0x3EAFF2: COME
0x3EAFF7: CAME
0x3EAFFC: Search
0x3EB003: MAKE
0x3EB008: CAUSE
0x3EB00E: KNOW
0x3EB013: KNOWS
0x3EB019: REFUSE
0x3EB020: STORES
0x3EB027: BRAG
0x3EB02C: IGNORANT
0x3EB035: THINKS
0x3EB03C: BELIEVE
0x3EB044: SLIDE
0x3EB04A: EATS
0x3EB053: USES
0x3EB058: USING
0x3EB05E: COULDN’T
0x3EB067: CAPABLE
0x3EB06F: DISAPPEAR
0x3EB079: APPEAR
0x3EB080: THROW
0x3EB086: WORRY
0x3EB08C: SLEPT
0x3EB092: SLEEP
0x3EB098: RELEASE
0x3EB0A0: DRINKS
0x3EB0A7: RUNS
0x3EB0B0: WORKS
0x3EB0B6: WORKING
0x3EB0BE: TALKING
0x3EB0C6: TALK
0x3EB0CB: SINK
0x3EB0D0: SMACK
0x3EB0D6: PRETEND
0x3EB0DE: PRAISE
0x3EB0E5: OVERDO
0x3EB0EC: SHOW
0x3EB0F1: LOOKS
0x3EB0F7: SEES
0x3EB0FC: SEEK
0x3EB105: TAKE
0x3EB10A: ALLOW
0x3EB110: FORGET
0x3EB117: FORGETS
0x3EB11F: APPEARS
0x3EB127: FAINT
0x3EB12D: FAINTED
0x3EB4E7: Home
0x3EB4EC: Money
0x3EB4F2: Allowance
0x3EB4FC: Bath
0x3EB501: Conversation
0x3EB50E: School
0x3EB515: Commemorate
0x3EB521: Habit
0x3EB527: Group
0x3EB52D: Word
0x3EB532: Store
0x3EB538: Service
0x3EB540: Work
0x3EB545: System
0x3EB54C: Train
0x3EB552: Class
0x3EB558: Lessons
0x3EB560: Information
0x3EB56C: Living
0x3EB573: Teacher
0x3EB57B: Tournament
0x3EB586: Letter
0x3EB58D: Event
0x3EB593: Digital
