0x16695C8: This Oricorio has sipped purple nectar.\nSome dancers use its graceful, elegant\ndancing as inspiration.
0x166962F: They live alone without forming packs.\nThey only listen to orders from those\nwho can draw out their true power.
0x166969F: This strange form is the result of it\nevolving at dusk. An intense fighting\nspirit underlies its calmness.
0x166970A: At their appearance, even Gyarados flee.\nWhen they team up to use Water Gun, its\npower exceeds that of Hydro Pump.
0x166977D: This is Necrozma while it’s absorbing\nthe power of Solgaleo, making it very\nferocious and impossible to control.
0x16697EE: Lunala no longer has a will of its own.\nNow under the control of Necrozma, it\ncontinuously expels all of its energy.
0x1669863: This is its form when it has absorbed\noverwhelming light energy. It fires\nlaser beams from all over its body.
0x16698D1: It functions thanks to its artificial soul.\nThe vivid decoration is proof that it\nwas presented as a gift to royalty.
0x1669947: The slightest shock is sometimes\nenough to get this Pokémon to spit\nout the Arrokuda lodged in its throat.
0x16699B2: This Cramorant has accidentally gotten\na Pikachu lodged in its gullet. While it\nseems to be choking, it isn’t bothered.
0x1669A2A: While generating electricity, it fills\nsurroundings with what sounds like\nthe strumming of a bass guitar.
0x1669A94: The swirl pattern in its body is its\nweakness. If it gets stirred, the swirl\nloses its shape, and it gets dizzy.
0x1669B05: When angered, it launches tea from\nits body at the offender’s mouth. The\ntea causes strong chills if swallowed.
0x1669B75: It evolved from a Milcery that held\nonto a Berry Sweet. The flavor of its\ncream depends on how it was mixed.
0x1669BE2: It evolved from a Milcery that held\nonto a Clover Sweet. The flavor of its\ncream depends on how it was mixed.
0x1669C50: It evolved from a Milcery that held\nonto a Flower Sweet. The flavor of its\ncream depends on how it was mixed.
0x1669CBE: It evolved from a Milcery that held\nonto a Love Sweet. The flavor of its\ncream depends on how it was mixed.
0x1669D2A: It evolved from a Milcery that held\nonto a Ribbon Sweet. The flavor of its\ncream depends on how it was mixed.
0x1669D98: It evolved from a Milcery that held\nonto a Star Sweet. The flavor of its\ncream depends on how it was mixed.
0x1669E04: The ice covering this Pokémon’s face\nhas shattered, revealing a worried\nexpression that many are enamored with.
0x1669E74: These intelligent Pokémon touch\nhorns with each other to share\ninformation between them.
0x1669ECD: Intense hunger drives it to extremes\nof violence. Until its hunger is appeased,\nit gets up to all manner of evil deeds.
0x1669F45: Now armed with a weapon it used in\nancient times, this Pokémon needs only\na single strike to fell any target.
0x1669FB3: Now that it has equipped its shield,\nit can shrug off impressive blows,\neven from Dynamaxed foes.
0x166A015: Infinite amounts of energy pour from\nthis Pokémon’s enlarged core, warping\nthe surrounding space-time.
0x166A07C: This form of Urshifu strongly believes\nin defeating foes by raining many blows\ndown on them.
0x166A0D9: This Zarude left its pack to raise a\nhuman child. It would wrap the child\nwith its cloth to calm the child’s crying.
0x166A14E: It is said that this Pokémon once\nmoved a large forest to a new\nlocation overnight.
0x166A1A2: It is said that by using its power,\nthis Pokémon saved the creatures\nof a forest from a meteorite strike.
0x166A20C: These Pokémon live in packs in the\nsnowy mountains and defend themselves\nwith icy breath.
0x166A266: It is said to guide virtuous people who\nhave lost their way on mountain paths\nback down to the mountain’s base.
0x166A2D6: When excited, Voltorb discharges the\nelectric current it has stored in its\nbelly, then lets out a great laugh.
0x166A345: When irritated, this Pokémon lets\nloose an electric current equal to\n20 lightning bolts.
0x166A39E: It is said to purify lost, forsaken\nsouls with its flames and guide\nthem to the afterlife.
0x166A3F9: Fisherman detest this troublesome\nPokémon because it sprays poison from\nits spines, getting it everywhere.
0x166A464: From the tips of its claws drips\na venom that infiltrates the nerves\nof any prey caught in its grasp.
0x166A4CA: Hard of heart and deft of blade,\nits turbulent blows crash into foes\nlike ceaseless pounding waves.
0x166A52E: The leaves on its head are highly\nvalued for medicinal purposes when\ndried in the sun and boiled.
0x166A590: This Basculin differs from others in\nseveral respects, including its\ndemeanor - this one is gentle.
0x166A5F4: A once-departed soul, returned to\nlife. It derives power from resentment,\nwhich rises as energy atop its head.
0x166A663: Heedless of its own safety, it attacks\nits nemeses with a bitter energy so\nintense, it lacerates its own body.
0x166A6D2: It is said to blast lakes with shock\nwaves, then scoops up any prey\nthat float to the water’s surface.
0x166A739: It is said its metallic shell developed\nas a result of the mucus on its skin\nreacting with the iron in ancient water.
0x166A7AF: Able to freely control the hardness\nof its metallic shell. It loathes\nsolitude and is extremely clingy.
0x166A817: The armor of ice covering its lower\njaw puts steel to shame and can\nshatter rocks with ease.
0x166A874: The air stored inside the rachises of\nDecidueye’s feathers insulates the\nPokémon against extreme cold.
0x166A8DB: Djinn
0x166A8E1: High King
0x166A8EB: Unique Horn
0x166A8F7: Dancing
0x166A8FF: Hexpert
0x166A907: Cruel
0x166A90D: Strong Legs
0x166A919: Malevolent
0x166A924: Zen Charm
0x166A92E: Scout
0x166A934: Sphere
0x166A93B: Ghost Flame
0x166A947: Spinning
0x166A950: Mellow
0x166A957: SpitefulFox
0x166A963: Baneful Fox
0x166A96F: Battle Cry
0x166A97A: Snail
0x166A980: ShellBunker
0x166A997: Bulbasaur
0x166A9A2: Ivysaur
0x166A9AD: Venusaur
0x166A9B8: Charmander
0x166A9C3: Charmeleon
0x166A9CE: Charizard
0x166A9D9: Squirtle
0x166A9E4: Wartortle
0x166A9EF: Blastoise
0x166A9FA: Caterpie
0x166AA05: Metapod
0x166AA10: Butterfree
0x166AA1B: Weedle
0x166AA26: Kakuna
0x166AA31: Beedrill
0x166AA3C: Pidgey
0x166AA47: Pidgeotto
0x166AA52: Pidgeot
0x166AA5D: Rattata
0x166AA68: Raticate
0x166AA73: Spearow
0x166AA7E: Fearow
0x166AA89: Ekans
0x166AA94: Arbok
0x166AA9F: Pikachu
0x166AAAA: Raichu
0x166AAB5: Sandshrew
0x166AAC0: Sandslash
0x166AACB: Nidoran♀
0x166AAD6: Nidorina
0x166AAE1: Nidoqueen
0x166AAEC: Nidoran♂
0x166AAF7: Nidorino
0x166AB02: Nidoking
0x166AB0D: Clefairy
0x166AB18: Clefable
0x166AB23: Vulpix
0x166AB2E: Ninetales
0x166AB39: Jigglypuff
0x166AB44: Wigglytuff
0x166AB4F: Zubat
0x166AB5A: Golbat
0x166AB65: Oddish
0x166AB70: Gloom
0x166AB7B: Vileplume
0x166AB86: Paras
0x166AB91: Parasect
0x166AB9C: Venonat
0x166ABA7: Venomoth
0x166ABB2: Diglett
0x166ABBD: Dugtrio
0x166ABC8: Meowth
0x166ABD3: Persian
0x166ABDE: Psyduck
0x166ABE9: Golduck
0x166ABF4: Mankey
0x166ABFF: Primeape
0x166AC0A: Growlithe
0x166AC15: Arcanine
0x166AC20: Poliwag
0x166AC2B: Poliwhirl
0x166AC36: Poliwrath
0x166AC41: Abra
0x166AC4C: Kadabra
0x166AC57: Alakazam
0x166AC62: Machop
0x166AC6D: Machoke
0x166AC78: Machamp
0x166AC83: Bellsprout
0x166AC8E: Weepinbell
0x166AC99: Victreebel
0x166ACA4: Tentacool
0x166ACAF: Tentacruel
0x166ACBA: Geodude
0x166ACC5: Graveler
0x166ACD0: Golem
0x166ACDB: Ponyta
0x166ACE6: Rapidash
0x166ACF1: Slowpoke
0x166ACFC: Slowbro
0x166AD07: Magnemite
0x166AD12: Magneton
0x166AD1D: Farfetch’d
0x166AD28: Doduo
0x166AD33: Dodrio
0x166AD3E: Seel
0x166AD49: Dewgong
0x166AD54: Grimer
0x166AD6A: Shellder
0x166AD75: Cloyster
0x166AD80: Gastly
0x166AD8B: Haunter
0x166AD96: Gengar
0x166ADA1: Onix
0x166ADAC: Drowzee
0x166ADB7: Hypno
0x166ADC2: Krabby
0x166ADCD: Kingler
0x166ADD8: Voltorb
0x166ADE3: Electrode
0x166ADEE: Exeggcute
0x166ADF9: Exeggutor
0x166AE04: Cubone
0x166AE0F: Marowak
0x166AE1A: Hitmonlee
0x166AE25: Hitmonchan
0x166AE30: Lickitung
0x166AE3B: Koffing
0x166AE46: Weezing
0x166AE51: Rhyhorn
0x166AE5C: Rhydon
0x166AE67: Chansey
0x166AE72: Tangela
0x166AE7D: Kangaskhan
0x166AE88: Horsea
0x166AE93: Seadra
0x166AE9E: Goldeen
0x166AEA9: Seaking
0x166AEB4: Staryu
0x166AEBF: Starmie
0x166AECA: Mr. Mime
0x166AED5: Scyther
0x166AEE0: Jynx
0x166AEEB: Electabuzz
0x166AEF6: Magmar
0x166AF01: Pinsir
0x166AF0C: Tauros
0x166AF17: Magikarp
0x166AF22: Gyarados
0x166AF2D: Lapras
0x166AF38: Ditto
0x166AF43: Eevee
0x166AF4E: Vaporeon
0x166AF59: Jolteon
0x166AF64: Flareon
0x166AF6F: Porygon
0x166AF7A: Omanyte
0x166AF85: Omastar
0x166AF90: Kabuto
0x166AF9B: Kabutops
0x166AFA6: Aerodactyl
0x166AFB1: Snorlax
0x166AFBC: Articuno
0x166AFC7: Zapdos
0x166AFD2: Moltres
0x166AFDD: Dratini
0x166AFE8: Dragonair
0x166AFF3: Dragonite
0x166AFFE: Mewtwo
0x166B014: Chikorita
0x166B01F: Bayleef
0x166B02A: Meganium
0x166B035: Cyndaquil
0x166B040: Quilava
0x166B04B: Typhlosion
0x166B056: Totodile
0x166B061: Croconaw
0x166B06C: Feraligatr
0x166B077: Sentret
0x166B082: Furret
0x166B08D: Hoothoot
0x166B098: Noctowl
0x166B0A3: Ledyba
0x166B0AE: Ledian
0x166B0B9: Spinarak
0x166B0C4: Ariados
0x166B0CF: Crobat
0x166B0DA: Chinchou
0x166B0E5: Lanturn
0x166B0F0: Pichu
0x166B0FB: Cleffa
0x166B106: Igglybuff
0x166B111: Togepi
0x166B11C: Togetic
0x166B127: Natu
0x166B132: Xatu
0x166B13D: Mareep
0x166B148: Flaaffy
0x166B153: Ampharos
0x166B15E: Bellossom
0x166B169: Marill
0x166B174: Azumarill
0x166B17F: Sudowoodo
0x166B18A: Politoed
0x166B195: Hoppip
