0x166BD66: Rampardos
0x166BD71: Shieldon
0x166BD7C: Bastiodon
0x166BD87: Burmy
0x166BD92: Wormadam
0x166BD9D: Mothim
0x166BDA8: Combee
0x166BDB3: Vespiquen
0x166BDBE: Pachirisu
0x166BDC9: Buizel
0x166BDD4: Floatzel
0x166BDDF: Cherubi
0x166BDEA: Cherrim
0x166BDF5: Shellos
0x166BE00: Gastrodon
0x166BE0B: Ambipom
0x166BE16: Drifloon
0x166BE21: Drifblim
0x166BE2C: Buneary
0x166BE37: Lopunny
0x166BE42: Mismagius
0x166BE4D: Honchkrow
0x166BE58: Glameow
0x166BE63: Purugly
0x166BE6E: Chingling
0x166BE79: Stunky
0x166BE84: Skuntank
0x166BE8F: Bronzor
0x166BE9A: Bronzong
0x166BEA5: Bonsly
0x166BEB0: Mime Jr.
0x166BEBB: Happiny
0x166BEC6: Chatot
0x166BED1: Spiritomb
0x166BEDC: Gible
0x166BEE7: Gabite
0x166BEF2: Garchomp
0x166BEFD: Munchlax
0x166BF08: Riolu
0x166BF13: Lucario
0x166BF1E: Hippopotas
0x166BF29: Hippowdon
0x166BF34: Skorupi
0x166BF3F: Drapion
0x166BF4A: Croagunk
0x166BF55: Toxicroak
0x166BF60: Carnivine
0x166BF6B: Finneon
0x166BF76: Lumineon
0x166BF81: Mantyke
0x166BF8C: Snover
0x166BF97: Abomasnow
0x166BFA2: Weavile
0x166BFAD: Magnezone
0x166BFB8: Lickilicky
0x166BFC3: Rhyperior
0x166BFCE: Tangrowth
0x166BFD9: Electivire
0x166BFE4: Magmortar
0x166BFEF: Togekiss
0x166BFFA: Yanmega
0x166C005: Leafeon
0x166C010: Glaceon
0x166C01B: Gliscor
0x166C026: Mamoswine
0x166C031: Porygon-Z
0x166C03C: Gallade
0x166C047: Probopass
0x166C052: Dusknoir
0x166C05D: Froslass
0x166C068: Rotom
0x166C073: Uxie
0x166C07E: Mesprit
0x166C089: Azelf
0x166C094: Dialga
0x166C09F: Palkia
0x166C0AA: Heatran
0x166C0B5: Regigigas
0x166C0C0: Giratina
0x166C0CB: Cresselia
0x166C0D6: Phione
0x166C0E1: Manaphy
0x166C0EC: Darkrai
0x166C0F7: Shaymin
0x166C102: Arceus
0x166C10D: Victini
0x166C118: Snivy
0x166C123: Servine
0x166C12E: Serperior
0x166C139: Tepig
0x166C144: Pignite
0x166C14F: Emboar
0x166C15A: Oshawott
0x166C165: Dewott
0x166C170: Samurott
0x166C17B: Patrat
0x166C186: Watchog
0x166C191: Lillipup
0x166C19C: Herdier
0x166C1A7: Stoutland
0x166C1B2: Purrloin
0x166C1BD: Liepard
0x166C1C8: Pansage
0x166C1D3: Simisage
0x166C1DE: Pansear
0x166C1E9: Simisear
0x166C1F4: Panpour
0x166C1FF: Simipour
0x166C20A: Munna
0x166C215: Musharna
0x166C220: Pidove
0x166C22B: Tranquill
0x166C236: Unfezant
0x166C241: Blitzle
0x166C24C: Zebstrika
0x166C257: Roggenrola
0x166C262: Boldore
0x166C26D: Gigalith
0x166C278: Woobat
0x166C283: Swoobat
0x166C28E: Drilbur
0x166C299: Excadrill
0x166C2A4: Audino
0x166C2AF: Timburr
0x166C2BA: Gurdurr
0x166C2C5: Conkeldurr
0x166C2D0: Tympole
0x166C2DB: Palpitoad
0x166C2E6: Seismitoad
0x166C2F1: Throh
0x166C2FC: Sawk
0x166C307: Sewaddle
0x166C312: Swadloon
0x166C31D: Leavanny
0x166C328: Venipede
0x166C333: Whirlipede
0x166C33E: Scolipede
0x166C349: Cottonee
0x166C354: Whimsicott
0x166C35F: Petilil
0x166C36A: Lilligant
0x166C375: Basculin
0x166C380: Sandile
0x166C38B: Krokorok
0x166C396: Krookodile
0x166C3A1: Darumaka
0x166C3AC: Darmanitan
0x166C3B7: Maractus
0x166C3C2: Dwebble
0x166C3CD: Crustle
0x166C3D8: Scraggy
0x166C3E3: Scrafty
0x166C3EE: Sigilyph
0x166C3F9: Yamask
0x166C404: Cofagrigus
0x166C40F: Tirtouga
0x166C41A: Carracosta
0x166C425: Archen
0x166C430: Archeops
0x166C43B: Trubbish
0x166C446: Garbodor
0x166C451: Zorua
0x166C45C: Zoroark
0x166C467: Minccino
0x166C472: Cinccino
0x166C47D: Gothita
0x166C488: Gothorita
0x166C493: Gothitelle
0x166C49E: Solosis
0x166C4A9: Duosion
0x166C4B4: Reuniclus
0x166C4BF: Ducklett
0x166C4CA: Swanna
0x166C4D5: Vanillite
0x166C4E0: Vanillish
0x166C4EB: Vanilluxe
0x166C4F6: Deerling
0x166C501: Sawsbuck
0x166C50C: Emolga
0x166C517: Karrablast
0x166C522: Escavalier
0x166C52D: Foongus
0x166C538: Amoonguss
0x166C543: Frillish
0x166C54E: Jellicent
0x166C559: Alomomola
0x166C564: Joltik
0x166C56F: Galvantula
0x166C57A: Ferroseed
0x166C585: Ferrothorn
0x166C590: Klink
0x166C59B: Klang
0x166C5A6: Klinklang
0x166C5B1: Tynamo
0x166C5BC: Eelektrik
0x166C5C7: Eelektross
0x166C5D2: Elgyem
0x166C5DD: Beheeyem
0x166C5E8: Litwick
0x166C5F3: Lampent
0x166C5FE: Chandelure
0x166C609: Axew
0x166C614: Fraxure
0x166C61F: Haxorus
0x166C62A: Cubchoo
0x166C635: Beartic
0x166C640: Cryogonal
0x166C64B: Shelmet
0x166C656: Accelgor
0x166C661: Stunfisk
0x166C66C: Mienfoo
0x166C677: Mienshao
0x166C682: Druddigon
0x166C68D: Golett
0x166C698: Golurk
0x166C6A3: Pawniard
0x166C6AE: Bisharp
0x166C6B9: Bouffalant
0x166C6C4: Rufflet
0x166C6CF: Braviary
0x166C6DA: Vullaby
0x166C6E5: Mandibuzz
0x166C6F0: Heatmor
0x166C6FB: Durant
0x166C706: Deino
0x166C711: Zweilous
0x166C71C: Hydreigon
0x166C727: Larvesta
0x166C732: Volcarona
0x166C73D: Cobalion
0x166C748: Terrakion
0x166C753: Virizion
0x166C75E: Tornadus
0x166C769: Thundurus
0x166C774: Reshiram
0x166C77F: Zekrom
0x166C78A: Landorus
0x166C795: Kyurem
0x166C7A0: Keldeo
0x166C7AB: Meloetta
0x166C7B6: Genesect
0x166C7C1: Unfezant
0x166C7CC: Frillish
0x166C7D7: Jellicent
0x166C7E2: Warrior
0x166C7ED: Burmy
0x166C7F8: Burmy
0x166C803: Wormadam
0x166C80E: Wormadam
0x166C819: Shellos
