0x166D319: Mudsdale
0x166D324: Dewpider
0x166D32F: Araquanid
0x166D33A: Fomantis
0x166D345: Lurantis
0x166D350: Morelull
0x166D35B: Shiinotic
0x166D366: Salandit
0x166D371: Salazzle
0x166D37C: Stufful
0x166D387: Bewear
0x166D392: Bounsweet
0x166D39D: Steenee
0x166D3A8: Tsareena
0x166D3B3: Comfey
0x166D3BE: Oranguru
0x166D3C9: Passimian
0x166D3D4: Wimpod
0x166D3DF: Golisopod
0x166D3EA: Sandygast
0x166D3F5: Palossand
0x166D400: Pyukumuku
0x166D40B: Type: Null
0x166D416: Silvally
0x166D421: Minior
0x166D42C: Komala
0x166D437: Turtonator
0x166D442: Togedemaru
0x166D44D: Mimikyu
0x166D458: Bruxish
0x166D463: Drampa
0x166D46E: Dhelmise
0x166D479: Jangmo-o
0x166D484: Hakamo-o
0x166D48F: Kommo-o
0x166D49A: Tapu Koko
0x166D4A5: Tapu Lele
0x166D4B0: Tapu Bulu
0x166D4BB: Tapu Fini
0x166D4C6: Cosmog
0x166D4D1: Cosmoem
0x166D4DC: Solgaleo
0x166D4E7: Lunala
0x166D4F2: Nihilego
0x166D4FD: Buzzwole
0x166D508: Pheromosa
0x166D513: Xurkitree
0x166D51E: Celesteela
0x166D529: Kartana
0x166D534: Guzzlord
0x166D53F: Necrozma
0x166D54A: Magearna
0x166D555: Marshadow
0x166D560: Rattata
0x166D56B: Raticate
0x166D576: Raichu
0x166D581: Sandshrew
0x166D58C: Sandslash
0x166D597: Vulpix
0x166D5A2: Ninetales
0x166D5AD: Diglett
0x166D5B8: Dugtrio
0x166D5C3: Meowth
0x166D5CE: Persian
0x166D5D9: Geodude
0x166D5E4: Graveler
0x166D5EF: Golem
0x166D5FA: Grimer
0x166D610: Exeggcute
0x166D61B: Exeggutor
0x166D626: Cubone
0x166D631: Marowak
0x166D63C: Deoxys
0x166D647: Deoxys
0x166D652: Deoxys
0x166D65D: Oricorio
0x166D668: Oricorio
0x166D673: Oricorio
0x166D67E: Lycanroc
0x166D689: Wishiwashi
0x166D694: Silvally
0x166D69F: Silvally
0x166D6AA: Silvally
0x166D6B5: Silvally
0x166D6C0: Silvally
0x166D6CB: Silvally
0x166D6D6: Silvally
0x166D6E1: Silvally
0x166D6EC: Silvally
0x166D6F7: Silvally
0x166D702: Silvally
0x166D70D: Silvally
0x166D718: Silvally
0x166D723: Silvally
0x166D72E: Silvally
0x166D739: Silvally
0x166D744: Silvally
0x166D74F: Minior
0x166D75A: Minior
0x166D765: Minior
0x166D770: Minior
0x166D77B: Minior
0x166D786: Minior
0x166D791: Minior
0x166D79C: Mimikyu
0x166D7A7: Magearna
0x166D7B2: Poipole
0x166D7BD: Naganadel
0x166D7C8: Stakataka
0x166D7D3: Blacphalon
0x166D7DE: Zeraora
0x166D7E9: Necrozma
0x166D7F4: Necrozma
0x166D7FF: Necrozma
0x166D80A: Lycanroc
0x166D815: Meltan
0x166D820: Melmetal
0x166D82B: Pikachu
0x166D836: Pikachu
0x166D841: Pikachu
0x166D84C: Pikachu
0x166D857: Pikachu
0x166D862: Pikachu
0x166D86D: Pikachu
0x166D878: Pikachu
0x166D883: Pikachu
0x166D88E: Pikachu
0x166D899: Pikachu
0x166D8A4: Pikachu
0x166D8AF: Pikachu
0x166D8BA: Pikachu
0x166D8C5: Pikachu
0x166D8D0: Pichu
0x166D8DB: Xerneas
0x166D8E6: Grookey
0x166D8F1: Thwackey
0x166D8FC: Rillaboom
0x166D907: Scorbunny
0x166D912: Raboot
0x166D91D: Cinderace
0x166D928: Sobble
0x166D933: Drizzile
0x166D93E: Inteleon
0x166D949: Skwovet
0x166D954: Greedent
0x166D95F: Rookidee
0x166D96A: Corvsquire
0x166D975: Corvknight
0x166D980: Blipbug
0x166D98B: Dottler
0x166D996: Orbeetle
0x166D9A1: Nickit
0x166D9AC: Thievul
0x166D9B7: Gossifleur
0x166D9C2: Eldegoss
0x166D9CD: Wooloo
0x166D9D8: Dubwool
0x166D9E3: Chewtle
0x166D9EE: Drednaw
0x166D9F9: Yamper
0x166DA04: Boltund
0x166DA0F: Rolycoly
0x166DA1A: Carkol
0x166DA25: Coalossal
0x166DA30: Applin
0x166DA3B: Flapple
0x166DA46: Appletun
0x166DA51: Silicobra
0x166DA5C: Sandaconda
0x166DA67: Cramorant
0x166DA72: Arrokuda
0x166DA7D: Baraskewda
0x166DA88: Toxel
0x166DA93: Toxtricity
0x166DA9E: Sizzlipede
0x166DAA9: Centskorch
0x166DAB4: Clobbopus
0x166DABF: Grapploct
0x166DACA: Sinistea
0x166DAD5: Poltegeist
0x166DAE0: Hatenna
0x166DAEB: Hattrem
0x166DAF6: Hatterene
0x166DB01: Impidimp
0x166DB0C: Morgrem
0x166DB17: Grimmsnarl
0x166DB22: Obstagoon
0x166DB2D: Perrserker
0x166DB38: Cursola
0x166DB43: Sirfetch’d
0x166DB4E: Mr. Rime
0x166DB59: Runerigus
0x166DB64: Milcery
0x166DB6F: Alcremie
0x166DB7A: Falinks
0x166DB85: Pincurchin
0x166DB90: Snom
0x166DB9B: Frosmoth
0x166DBA6: Stonjorner
0x166DBB1: Eiscue
0x166DBBC: Indeedee
0x166DBC7: Morpeko
0x166DBD2: Cufant
0x166DBDD: Copperajah
0x166DBE8: Dracozolt
0x166DBF3: Arctozolt
0x166DBFE: Dracovish
0x166DC09: Arctovish
0x166DC14: Duraludon
0x166DC1F: Dreepy
0x166DC2A: Drakloak
0x166DC35: Dragapult
0x166DC40: Zacian
0x166DC4B: Zamazenta
0x166DC56: Eternatus
0x166DC61: Kubfu
0x166DC6C: Urshifu
0x166DC77: Zarude
0x166DC82: Regieleki
0x166DC8D: Regidrago
0x166DC98: Glastrier
0x166DCA3: Spectrier
0x166DCAE: Calyrex
0x166DCB9: Cramorant
0x166DCC4: Cramorant
0x166DCCF: Toxtricity
0x166DCDA: Sinistea
0x166DCE5: Poltegeist
0x166DCF0: Alcremie
0x166DCFB: Alcremie
0x166DD06: Alcremie
0x166DD11: Alcremie
0x166DD1C: Alcremie
0x166DD27: Alcremie
0x166DD32: Eiscue
0x166DD3D: Indeedee
0x166DD48: Morpeko
0x166DD53: Zacian
0x166DD5E: Zamazenta
0x166DD69: Eternatus
0x166DD74: Urshifu
0x166DD7F: Zarude
0x166DD8A: Calyrex
0x166DD95: Calyrex
0x166DDA0: Meowth
0x166DDAB: Ponyta
0x166DDB6: Rapidash
0x166DDC1: Slowpoke
0x166DDCC: Slowbro
0x166DDD7: Farfetch’d
