Line 11: segment 1 \n mismatch (origin=1, fr=2)
Line 22: trailing control code at end of fr line
Line 28: segment 1 \n mismatch (origin=1, fr=2)
Line 34: segment 1 \n mismatch (origin=1, fr=2)
Line 80: segment 1 has extra \n (origin=0, fr=3)
Line 196: segment 1 \n mismatch (origin=1, fr=2)
Line 202: segment 1 \n mismatch (origin=1, fr=0)
Line 203: segment 1 \n mismatch (origin=1, fr=0)
Line 209: segment 1 \n mismatch (origin=1, fr=2)
Line 245: segment 1 \n mismatch (origin=1, fr=2)
Line 247: segment 1 \n mismatch (origin=1, fr=2)
Line 248: segment 1 \n mismatch (origin=1, fr=2)
Line 249: segment 1 \n mismatch (origin=1, fr=2)
