Line 1: segment 1 has extra \n (origin=0, fr=2)
Line 1: trailing control code at end of fr line
Line 6: segment 3 \n mismatch (origin=1, fr=2)
Line 10: segment 1 \n mismatch (origin=1, fr=2)
Line 10: segment 8 \n mismatch (origin=1, fr=2)
Line 19: trailing control code at end of fr line
Line 24: segment 1 \n mismatch (origin=1, fr=2)
Line 30: segment 1 \n mismatch (origin=1, fr=2)
Line 31: segment 1 \n mismatch (origin=1, fr=2)
Line 39: segment 1 \n mismatch (origin=1, fr=2)
Line 41: segment 2 \n mismatch (origin=1, fr=2)
Line 42: segment 2 \n mismatch (origin=1, fr=2)
Line 50: segment 3 \n mismatch (origin=1, fr=2)
Line 65: segment 1 \n mismatch (origin=3, fr=2)
Line 81: segment 1 \n mismatch (origin=3, fr=1)
Line 82: segment 1 \n mismatch (origin=2, fr=3)
Line 83: segment 1 \n mismatch (origin=2, fr=3)
Line 84: segment 1 \n mismatch (origin=1, fr=2)
Line 89: trailing control code at end of fr line
Line 91: segment 1 \n mismatch (origin=1, fr=2)
Line 98: segment 1 \n mismatch (origin=1, fr=2)
Line 99: segment 1 \n mismatch (origin=1, fr=3)
Line 100: segment 1 \n mismatch (origin=1, fr=2)
Line 102: segment 1 \n mismatch (origin=1, fr=2)
Line 105: segment 2 \n mismatch (origin=1, fr=2)
Line 111: segment 1 \n mismatch (origin=1, fr=2)
Line 115: segment 1 \n mismatch (origin=1, fr=2)
Line 116: segment 1 \n mismatch (origin=1, fr=2)
Line 117: segment 1 \n mismatch (origin=1, fr=2)
Line 118: segment 1 \n mismatch (origin=1, fr=2)
Line 133: segment 1 \n mismatch (origin=1, fr=2)
Line 137: segment 2 \n mismatch (origin=1, fr=2)
Line 137: segment 3 \n mismatch (origin=1, fr=2)
Line 138: segment 1 \n mismatch (origin=1, fr=2)
Line 156: segment 1 \n mismatch (origin=1, fr=3)
Line 159: segment too long (44>36) ->   7デリË¿  àŒっÂ フÁNon! Vous devez récupérer le
Line 164: segment 1 \n mismatch (origin=1, fr=2)
Line 174: segment 2 \n mismatch (origin=1, fr=2)
Line 174: segment 3 \n mismatch (origin=1, fr=2)
Line 175: segment 1 \n mismatch (origin=1, fr=2)
Line 178: segment 2 \n mismatch (origin=1, fr=2)
Line 180: segment 1 \n mismatch (origin=1, fr=2)
Line 182: segment 1 \n mismatch (origin=1, fr=2)
Line 184: segment 1 \n mismatch (origin=1, fr=3)
Line 191: segment 1 \n mismatch (origin=1, fr=3)
Line 197: segment 1 \n mismatch (origin=1, fr=2)
Line 199: segment 2 \n mismatch (origin=1, fr=2)
Line 204: segment 1 \n mismatch (origin=1, fr=3)
Line 205: segment 2 \n mismatch (origin=1, fr=3)
Line 215: segment 1 \n mismatch (origin=1, fr=2)
Line 216: segment 1 \n mismatch (origin=1, fr=2)
Line 223: segment 1 \n mismatch (origin=1, fr=2)
Line 226: segment 3 \n mismatch (origin=1, fr=2)
Line 227: segment 1 \n mismatch (origin=1, fr=3)
Line 229: segment 1 has extra \n (origin=0, fr=2)
Line 231: segment 3 \n mismatch (origin=1, fr=2)
Line 232: trailing control code at end of fr line
Line 233: segment 1 \n mismatch (origin=1, fr=2)
Line 235: segment 1 \n mismatch (origin=1, fr=2)
Line 236: segment 2 \n mismatch (origin=1, fr=2)
Line 245: segment 1 \n mismatch (origin=1, fr=2)
Line 246: segment 1 \n mismatch (origin=1, fr=3)
Line 247: segment 1 \n mismatch (origin=1, fr=3)
Line 248: segment 2 \n mismatch (origin=1, fr=2)
