Line 3: \l count mismatch (origin=0, fr=1)
Line 4: \l count mismatch (origin=0, fr=1)
Line 5: \l count mismatch (origin=0, fr=1)
Line 6: \l count mismatch (origin=0, fr=1)
Line 11: \p count mismatch (origin=0, fr=1)
Line 12: \p count mismatch (origin=0, fr=1)
Line 13: \p count mismatch (origin=0, fr=1)
Line 14: \p count mismatch (origin=0, fr=1)
Line 15: \p count mismatch (origin=0, fr=1)
Line 16: \p count mismatch (origin=0, fr=1)
Line 17: \p count mismatch (origin=0, fr=1)
Line 18: \p count mismatch (origin=0, fr=1)
Line 19: \p count mismatch (origin=0, fr=1)
Line 20: \p count mismatch (origin=0, fr=1)
Line 21: \p count mismatch (origin=0, fr=1)
Line 22: \p count mismatch (origin=0, fr=1)
Line 24: \p count mismatch (origin=0, fr=1)
Line 30: \p count mismatch (origin=1, fr=0)
Line 33: \p count mismatch (origin=1, fr=0)
Line 37: \p count mismatch (origin=1, fr=0)
Line 40: \p count mismatch (origin=0, fr=1)
Line 41: \p count mismatch (origin=0, fr=2)
Line 42: \p count mismatch (origin=0, fr=1)
Line 43: \p count mismatch (origin=0, fr=2)
Line 47: \p count mismatch (origin=1, fr=0)
Line 51: \p count mismatch (origin=1, fr=0)
Line 52: segment too long (44>36) ->  Tu ne peux pas encore lancer de Poké Ball !{PAUSE_UNTIL_PRESS}
Line 53: segment too long (37>36) -> Le Pokémon ne peut pas être capturé !{PAUSE_UNTIL_PRESS}
Line 56: \p count mismatch (origin=1, fr=0)
Line 58: \p count mismatch (origin=1, fr=0)
Line 59: \p count mismatch (origin=1, fr=0)
Line 63: \p count mismatch (origin=1, fr=0)
Line 69: \l count mismatch (origin=1, fr=0)
Line 70: \l count mismatch (origin=1, fr=0)
Line 71: \l count mismatch (origin=1, fr=0)
Line 72: \l count mismatch (origin=1, fr=0)
Line 77: \p count mismatch (origin=1, fr=0)
Line 78: \p count mismatch (origin=1, fr=0)
Line 79: \p count mismatch (origin=1, fr=0)
Line 80: \p count mismatch (origin=1, fr=0)
Line 81: \p count mismatch (origin=1, fr=0)
Line 82: \p count mismatch (origin=1, fr=0)
Line 83: \p count mismatch (origin=1, fr=0)
Line 84: \p count mismatch (origin=1, fr=0)
Line 85: \p count mismatch (origin=1, fr=0)
Line 86: \p count mismatch (origin=1, fr=0)
Line 87: \p count mismatch (origin=1, fr=0)
Line 88: \p count mismatch (origin=1, fr=0)
Line 90: \p count mismatch (origin=1, fr=0)
Line 106: \p count mismatch (origin=1, fr=0)
Line 107: \p count mismatch (origin=2, fr=0)
Line 108: \p count mismatch (origin=1, fr=0)
Line 109: \p count mismatch (origin=2, fr=0)
Line 110: \p count mismatch (origin=0, fr=13)
Line 110: segment too long (38>36) -> Injector 3DS, définissez {COLOR}ÉROM Save Type{COLOR}Á
Line 110: segment too long (38>36) -> sur {COLOR}ÉFlash 1Mbit (Macronix, ID: 0x09C2)
Line 111: \p count mismatch (origin=0, fr=2)
Line 112: \p count mismatch (origin=0, fr=15)
Line 113: \p count mismatch (origin=0, fr=4)
Line 113: \l count mismatch (origin=0, fr=1)
Line 114: \p count mismatch (origin=0, fr=1)
Line 115: \p count mismatch (origin=0, fr=1)
Line 133: \p count mismatch (origin=0, fr=1)
Line 159: \p count mismatch (origin=0, fr=4)
Line 159: \l count mismatch (origin=0, fr=1)
Line 163: \p count mismatch (origin=0, fr=1)
Line 164: segment too long (39>36) ->  Le chemin étroit ne menait nulle part.
Line 176: \p count mismatch (origin=13, fr=0)
Line 177: \p count mismatch (origin=2, fr=0)
Line 178: \p count mismatch (origin=15, fr=0)
Line 179: \p count mismatch (origin=4, fr=0)
Line 179: \l count mismatch (origin=1, fr=0)
Line 180: \p count mismatch (origin=1, fr=0)
Line 181: \p count mismatch (origin=1, fr=0)
Line 199: \p count mismatch (origin=1, fr=0)
Line 206: segment too long (42>36) ->  {STR_VAR_1} devient plus amical. Sa {STR_VAR_2} de base ne peut
Line 225: \p count mismatch (origin=4, fr=0)
Line 225: \l count mismatch (origin=1, fr=0)
Line 227: \p count mismatch (origin=0, fr=1)
Line 228: \p count mismatch (origin=0, fr=1)
Line 230: \p count mismatch (origin=0, fr=1)
Line 231: \p count mismatch (origin=0, fr=1)
Line 232: \p count mismatch (origin=0, fr=1)
Line 233: \p count mismatch (origin=0, fr=1)
Line 234: \p count mismatch (origin=0, fr=1)
Line 235: \p count mismatch (origin=0, fr=1)
Line 236: \p count mismatch (origin=0, fr=1)
Line 237: \p count mismatch (origin=0, fr=1)
Line 238: \p count mismatch (origin=0, fr=1)
Line 239: \p count mismatch (origin=0, fr=1)
Line 240: \p count mismatch (origin=0, fr=1)
Line 241: \p count mismatch (origin=0, fr=1)
Line 242: \p count mismatch (origin=0, fr=1)
Line 243: \p count mismatch (origin=0, fr=1)
Line 244: \p count mismatch (origin=0, fr=2)
Line 245: \p count mismatch (origin=0, fr=1)
Line 246: \p count mismatch (origin=0, fr=2)
Line 247: \p count mismatch (origin=0, fr=1)
Line 248: \p count mismatch (origin=0, fr=1)
Line 249: \p count mismatch (origin=0, fr=1)
